,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi
0,0.200284321,417059090,718926240,1816854,40777,99279,273653,5348293,22260463,195023,723346,0.580113879
1,0.400625375,600429353,1264059741,1762581,46136,91010,644469,5937870,30576639,91351,649278,0.475000772
2,0.600957386,596412738,1077894708,1878601,67773,85017,709028,11949806,30938347,124317,561381,0.553312614
3,0.801285973,593417286,1034513464,2839667,78653,83785,749997,6926916,34402529,149794,583703,0.573619684
4,1.001624933,593503862,1028350399,2805993,77995,83919,684959,6508580,33476555,166360,578311,0.577141666
5,1.201951552,596149759,1108016981,2463953,100514,101920,532848,7550593,31238530,193042,596727,0.538033053
6,1.402275333,593797921,1083176885,3874537,122170,144708,128137,10946143,15374263,259401,687922,0.548200326
7,1.602598673,595878107,1129469395,3962533,114733,149183,139374,10315484,13895176,221322,798780,0.527573487
8,1.802938127,594569548,1122511010,3943608,130025,152761,140114,10246883,15586404,195241,823426,0.529678144
9,2.003247509,595521601,1187109750,3611985,91626,151219,135369,10761154,15104952,181869,805470,0.501656735
10,2.203588729,593722590,1301106214,2358845,145965,176329,99775,14879104,10983312,200176,933245,0.456321385
11,2.403763735,587166659,1048406808,3245095,243105,144000,94864,12415764,15644471,359771,787315,0.560056129
12,2.604069765,593110090,851833427,5188800,118556,94238,68624,9838807,16542783,262283,286304,0.696274731
13,2.804367367,590468344,812089028,6013537,93624,93851,62667,11685818,11181369,212363,284696,0.727098044
14,3.004661035,592996449,785742272,5879838,102913,94788,67104,10154773,14704436,243637,294864,0.754695872
15,3.205003068,592500530,804644897,6021738,100632,94934,55465,10123298,13765573,280509,276928,0.736350323
16,3.405312124,590987253,827421020,5853578,109196,92564,58628,10812816,12664053,277417,331028,0.714252163
17,3.605642503,592723227,862938712,5300061,120086,102410,67300,10580384,13953630,244914,359643,0.68686596
18,3.805968061,592541555,882295186,5713110,111665,93624,57787,12705261,11062153,255377,301024,0.671591055
19,4.006306635,589832140,1149716289,3731051,186525,108635,41346,21135431,5406396,255531,328447,0.513024079
20,4.20660579,592973585,887914332,5922830,125390,99752,55567,12960080,9669333,247532,367541,0.667827473
21,4.406913164,580792985,791145962,5751356,105345,90441,63731,11662256,8964088,315172,319055,0.734116096
22,4.607256249,550973288,936147602,2543325,230023,86116,33690,19392214,3189185,854161,451835,0.588553864
23,4.807599105,528615345,764498226,1768967,376597,68101,14737,18450795,489898,921010,323548,0.691453985
24,5.007897654,590325186,897117847,5826201,145568,94138,55879,13962541,7290979,256070,233946,0.658024125
25,5.208196584,591647481,844632664,6209580,121686,101418,59569,13546114,10268207,251186,283754,0.700479044
26,5.408508718,593477394,955585958,5859617,123351,111480,61871,16628501,7154378,210962,302754,0.621061234
27,5.608807165,588316001,844131925,5678085,136855,102877,65775,13226615,9230665,246195,312703,0.696947934
28,5.809111288,587806899,914207454,5132461,150498,106768,60689,15148831,7508568,298413,321708,0.642968832
29,6.009407228,580043249,884868708,4655648,163302,109392,56235,14569287,7658617,331958,315761,0.655513348
30,6.209740148,514774613,725669773,2952642,317576,59089,18963,14398623,2639267,1338842,259984,0.709378607
31,6.410101847,459077038,457218796,2539406,459919,21060,8963,13755865,1249694,1978505,112983,1.004064229
32,6.61046562,529970413,417428873,726142,1139936,125412,4635,24371762,612287,1104956,498570,1.269606506
33,6.810810058,489691834,358294727,1105301,961987,98324,4906,18891593,265598,1775137,335640,1.366729112
34,7.011168793,499159022,692454640,1425890,443262,247403,16383,12393748,1100972,1769198,1510570,0.720854469
35,7.211572931,579501787,680848099,5741386,138932,40526,92159,7619422,16648504,193280,204801,0.851146956
36,7.411755057,593807866,1084834803,4444840,107839,48248,78113,11209699,12253208,173390,228495,0.547371696
37,7.612079981,595493962,1052612894,4709853,97588,47632,74463,11784964,13460432,160965,239263,0.565729306
38,7.812437818,596534085,870357053,6220718,92260,43108,118984,8202220,17255762,155550,206144,0.685390074
39,8.012762421,598288474,837527235,6637342,93631,45112,111911,8098402,16868718,155960,202802,0.714351067
40,8.213064242,596778308,869507461,6642649,87402,43309,93782,8608774,16643865,135815,187921,0.686340641
41,8.413362019,595769376,847285955,6371219,99214,45530,118248,7571913,17698518,151555,195138,0.703150303
42,8.613655394,597789869,970739000,5869496,82141,44540,85095,10030419,13531109,165050,217501,0.615809058
43,8.813962101,591421651,864912433,6243338,70212,36157,58386,10449567,12231489,200440,216553,0.683793675
44,9.014277909,590636371,874431263,6039326,106799,46710,61742,12857058,10073760,219379,244232,0.675452029
45,9.214620806,582724386,797942463,4398370,215846,42874,19822,18437963,3361563,389852,235151,0.730283715
46,9.414988404,573176346,956255367,3829190,217444,31302,14087,14307019,3650962,493585,260438,0.599396736
47,9.615376666,597263314,1055103871,5310488,85279,38653,62617,13146515,9087837,150076,201203,0.566070631
48,9.815676421,590775705,1011426168,5079514,92221,43146,56351,11833387,8883642,161239,211631,0.584101661
49,10.01608183,594742468,1021464449,5179275,82244,53059,53742,14494941,9690588,145453,201331,0.582244902
50,10.21641972,595665153,1083885336,4694819,93154,47644,46297,16180652,8235418,150785,279077,0.549564731
