,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi,,,,,,,,
0,0.500548479,1356670963,1955134519,15967860,82621,42221,3210,79365540,336876,3815348,234752,0.693901596,,,,,,,,
1,1.001176844,1529855882,1500908906,27054890,64383,1104,1474,49949195,87312,1754593,2851,1.019286298,,,,,,,,
2,1.501807612,1535154265,1482256698,27561744,47366,998,1240,46483995,73699,1290076,2114,1.035687184,,,,,,,,
3,2.002427597,1534810543,1469731833,27583584,40835,872,1257,45348267,89000,1184401,2582,1.044279309,,,,,,,,
4,2.503063193,1534948091,1485070833,27436425,31562,1027,1184,44916269,74159,1090217,2542,1.033585777,,,,,,,,
5,3.003684723,1530381554,1503434851,27179368,26123,989,1263,44929126,93368,1116309,2260,1.017923426,,,,,,,,
6,3.503791698,1531856145,1549998129,26731422,20246,987,1376,45281418,78712,1123914,1502,0.98829548,,,,,,,,
7,4.004414113,1532186357,1557018794,26871986,21200,923,1414,45778565,95845,1153115,1220,0.984051293,,,,,,,,
8,4.505047772,1532781269,1528039820,26926700,25187,924,1217,45554484,75334,1189743,1403,1.003102962,,,,,,,,
9,5.005677115,1532388949,1517968514,27114954,25529,929,1130,45281111,73314,1232541,1315,1.009499825,,,,,,,,
10,5.506045152,1533705055,1518640738,27144357,21626,1009,1136,44713050,68166,1208359,1235,1.009919605,,,,,,,,
11,6.006698042,1526394148,1497899126,26964339,20205,921,1059,44105009,78225,1282899,1436,1.019023325,,,,,,,,
12,6.507320766,1534826262,1510771126,27238745,17617,866,1189,43956499,68188,1228368,1233,1.015922422,,,,,,,,
13,7.007786042,1532099698,1499060003,27295588,18509,881,1101,43812966,73038,1270783,1197,1.022040275,,,,,,,,
14,7.508404471,1534703077,1488567747,27341290,22769,925,1194,44164540,68913,1283921,1193,1.030993101,,,,,,,,
15,8.009029337,1532257894,1494140628,27333548,20248,1310,1092,44352641,74391,1281482,1356,1.025511164,,,,,,,,
16,8.509664338,1534579350,1493490694,27404164,20064,1653,1280,43936833,71253,1212501,1464,1.027511826,,,,,,,,
17,9.010284936,1532155239,1482203600,27614295,22938,1814,1353,43854738,82222,1172437,1513,1.033700929,,,,,,,,
18,9.51090396,1534366997,1454320778,27770214,29931,1489,1335,43913012,75342,1118336,1241,1.055040277,,,,,,,,
19,10.01153095,1532357538,1457247985,27826621,30929,1245,1428,44322776,87472,1118274,1438,1.051542053,,,,,,,,
20,10.5117806,1533580529,1452810942,28030453,28763,1828,1331,43506541,67259,1043070,1342,1.055595387,,,,,,,,
21,11.0124027,1531461677,1443817649,28071316,34511,1861,1362,43814273,86021,1046032,1419,1.060702976,,,,,,,,
22,11.51301159,1535303471,1439194875,28180269,36418,1791,1202,43473184,77705,975965,1462,1.066779418,,,,,,,,
23,12.01363599,1531897377,1422428118,28205927,39121,1610,1297,43678511,80984,973605,1521,1.076959431,,,,,,,,
24,12.51422687,1535361977,1417058912,28416192,42673,1926,1242,43587842,73701,944831,1366,1.083484931,,,,,,,,
25,13.01485162,1532331832,1403594388,28488458,46001,1958,1305,43543432,85126,938607,1470,1.091719834,,,,,,,,
26,13.51547363,1536742455,1387862833,28757963,50112,1885,1267,43291179,79755,910290,1520,1.107272577,,,,,,,,
27,14.01578858,1529633539,1355949623,28738441,54011,1985,1281,43375279,88224,899498,1687,1.128090242,,,,,,,,
28,14.5163858,1534777573,1356325559,29019994,58315,2102,1231,43397602,79262,877573,1572,1.131570192,,,,,,,,
29,15.01701015,1532464343,1338689729,29097834,61776,2064,1377,43558748,86451,912822,1686,1.144749459,,,,,,,,
30,15.51764816,1535696689,1336441593,29175011,63560,2035,1237,43628106,74647,896233,1597,1.149093755,,,,,,,,
31,16.01827691,1533592113,1317066442,29342902,70028,2050,1603,43866763,84080,919100,1601,1.16439996,,,,,,,,
32,16.51886038,1535086539,1298201126,29382598,74456,2164,1542,43858739,78565,951794,1754,1.182472044,,,,,,,,
33,17.01949006,1532842733,1284568049,29538057,81502,2205,1374,44047481,84935,996223,1889,1.19327484,,,,,,,,
34,17.52011102,1534566663,1271395019,29690805,86572,2276,1278,43948028,87298,1009949,1963,1.206994396,,,,,,,,
35,18.02072925,1531141115,1247877668,29741679,91806,2201,1471,44150462,93726,1029619,2046,1.226996167,,,,,,,,
36,18.52134621,1533110108,1231822799,29752796,100693,2358,1311,44739067,83226,1071310,1896,1.244586567,,,,,,,,
37,19.0219422,1529540906,1213127097,29689512,109297,2418,1416,45694551,93279,1167966,2069,1.260824946,,,,,,,,
38,19.52257274,1530790843,1197952429,29693760,118041,2496,1528,46629185,81319,1304433,2262,1.277839425,,,,,,,,
39,20.02319757,1527365528,1178327751,29538412,126161,2656,1701,47669590,81098,1380911,2474,1.29621451,,,,,,,,
40,20.52378492,1521543764,1165237117,29352004,140833,2758,1615,48939618,89165,1602520,3153,1.305780379,,,,,,,,
41,21.02438909,1490320813,1106864054,27976041,153975,2982,1598,49029411,100811,2084890,4090,1.34643528,,,,,,,,
42,21.52499016,1488388329,1088293585,27509988,172908,3300,1636,51910830,102683,2418438,4057,1.367634937,,,,,,,,
43,22.02561527,1498805199,1129623925,28440907,195383,3408,1555,58362041,106220,2322175,3369,1.32681786,,,,,,,,
44,22.52625373,1487352940,1106501029,27278437,212120,3671,1515,60666953,93771,2874131,4332,1.34419481,,,,,,,,
45,23.0268924,1484789667,1103748388,26865412,249845,4249,1468,70643019,91751,2941821,3990,1.345224766,,,,,,,,
46,23.52752945,1481562856,1089639630,24936066,330755,5801,1586,91724420,88883,4357391,5267,1.359681509,,,,,,,,
47,24.02780624,1403867858,1293646243,14532829,855125,639722,2242,94757193,238264,7600457,3442032,1.085202284,,,,,,,,
48,24.52846914,1278773892,1037525286,9253917,1977578,682875,2496,65890451,178843,15440672,933371,1.23252311,,,,,,,,
49,25.02913983,1302298026,982102504,8584894,2341857,879078,2508,87275157,117045,21664983,1317638,1.326030654,,,,,,,,
50,25.52981571,1298526614,942755639,8331563,2316588,742738,2296,111008497,81605,16979352,1263516,1.377373479,,,,,,,,
51,26.03045762,1296176965,953430188,8183496,2204295,716834,2395,99840903,98353,15870915,1879799,1.359488069,,,,,,,,
52,26.53109284,1278532453,951368112,8101600,1968247,641826,2282,88638117,90655,14079419,1714754,1.343888277,,,,,,,,
53,27.03174733,1384104046,1072486448,10362377,988072,427710,2667,124186520,132655,12693173,2109332,1.29055621,,,,,,,,
54,27.53236415,1408429464,1053848574,15909928,5151443,112195,2090,73961951,71679,13124081,470083,1.336462846,,,,,,,,
55,28.03299243,1451753475,1533010902,16967359,2756079,1888832,1647,60729786,96244,5427266,1843060,0.94699488,,,,,,,,
56,28.53361885,1501535128,1405128705,22792669,138675,5211,1499,63820707,81613,4187542,6214,1.068610386,,,,,,,,
57,29.03423555,1482769584,1285613228,21577895,177975,6274,1566,71210036,92047,5097738,6372,1.153355886,,,,,,,,
58,29.53485682,1478786440,1259137057,19928546,191422,7037,1516,79210979,76085,6484939,7415,1.17444438,,,,,,,,
59,30.03549488,1450864335,1300710289,16869702,231981,9173,1573,99469806,116017,8912961,9316,1.115440039,,,,,,,,
60,30.53580204,1439823713,1344989736,14906243,264380,11097,1553,112478534,83110,10583490,10409,1.070509071,,,,,,,,
61,31.0364285,1404540023,1371196477,10561333,277085,358516,1737,140696614,180708,11892279,2762556,1.024317118,,,,,,,,
62,31.53708054,1315503390,1197716306,10173663,1452432,507411,2184,71636421,94005,12508598,815200,1.098343058,,,,,,,,
63,32.03772844,1266256708,1089485703,9242682,1732620,448786,1991,56220371,79958,11994017,261694,1.16225179,,,,,,,,
64,32.53837263,1255578791,1093422711,8881399,1819347,551589,2177,57480435,111901,12644800,712065,1.148301364,,,,,,,,
65,33.03897794,1230486298,1049762477,8830543,1870410,549882,2138,53555531,95577,14250544,559426,1.172156869,,,,,,,,
66,33.53961173,1236771187,1048978202,8129394,1838686,600449,2312,53140484,122814,19516946,779837,1.179024678,,,,,,,,
67,34.04027588,1206951586,994106945,8326287,1895058,594706,2165,50877815,126364,14446107,710334,1.214106382,,,,,,,,
68,34.54094007,1172210380,953201117,7989327,1873284,575905,2167,53954086,165660,16581002,563591,1.229761861,,,,,,,,
69,35.0416186,1213227359,1000469617,8612301,1877679,524074,2156,51640530,88768,14975685,373511,1.212657874,,,,,,,,
70,35.54228859,1216924962,1025031038,8468578,1812078,509571,2118,56918792,67492,14998876,352757,1.187207916,,,,,,,,
71,36.04290631,1223446403,1032388194,8835397,1909967,537510,2192,54031537,72646,14648437,422054,1.18506431,,,,,,,,
72,36.5435453,1261978533,1073899449,8589135,1706372,509906,2161,59127572,63858,18563330,538696,1.175136587,,,,,,,,
73,37.04376168,1323922152,1101662202,9446354,1388928,446411,2125,98776097,73052,14225527,931292,1.201749638,,,,,,,,
74,37.54437573,1405013047,1056385202,11744451,3413257,116055,1734,102077056,72574,16601059,782134,1.330019622,,,,,,,,
75,38.04501762,1366669870,916556910,15587933,8996181,2620,1883,44962377,72428,11099728,1275,1.491091121,,,,,,,,
76,38.5456561,1396408961,961966610,16908759,8831272,2606,1919,44466406,67187,10489827,1469,1.451618951,,,,,,,,
77,39.04629608,1492648887,1466032355,12365398,435012,5726086,1365,59041563,93890,2223432,9201025,1.018155487,,,,,,,,
78,39.54692428,1536260384,1798830598,23713223,58630,2644,1088,56003252,67329,876362,2997,0.854032829,,,,,,,,
79,40.04756096,1531393293,1643533007,25036955,71391,2813,1264,53163521,86874,1070113,3524,0.931769114,,,,,,,,
80,40.54817869,1523327770,1421011058,26474563,94139,3200,1174,51450001,72630,1466122,3381,1.072002756,,,,,,,,
81,41.04880641,1516736410,1352575142,26457832,122724,3602,1420,52300376,102848,2009036,3706,1.121369426,,,,,,,,
82,41.54943878,1525901536,1340644952,26969320,94137,3135,1318,49361531,93720,1279652,2743,1.138184673,,,,,,,,
83,42.05005859,1513742021,1307198256,25968457,128817,3887,1243,53916717,97291,2295043,4143,1.158004927,,,,,,,,
84,42.55069093,1522537641,1259623406,27380475,115927,3364,1236,48230319,87082,1657551,3608,1.208724476,,,,,,,,
85,43.05132047,1519130158,1275905629,26947606,128359,3541,1419,49985668,102512,1805655,3527,1.190628933,,,,,,,,
86,43.55190367,1513414978,1262727903,26507089,130587,3710,1156,52047108,81882,2300456,4217,1.198528182,,,,,,,,
87,44.05252636,1522713032,1255518351,27265083,128676,3561,1467,50602789,98112,1925699,3786,1.212816229,,,,,,,,
88,44.55315785,1523346067,1249983089,27473607,119990,3316,1320,47646316,86657,1593597,3285,1.218693341,,,,,,,,
89,45.05377406,1526010151,1258247872,27851661,135267,3645,1212,50504886,95921,1805430,3954,1.212805668,,,,,,,,
90,45.55439987,1519328924,1243911441,27360021,130791,3653,1429,51502618,94017,1999412,3942,1.221412453,,,,,,,,
91,46.05501818,1511821926,1249182711,26960960,140125,3998,1430,52613368,111288,2205674,4339,1.210248839,,,,,,,,
92,46.55564529,1511547278,1244807134,26905808,142076,3933,1322,53310705,96759,2119080,3807,1.214282307,,,,,,,,
93,47.05626107,1516968418,1256102904,27580853,135769,3796,1506,51489568,111499,2020626,3959,1.207678458,,,,,,,,
94,47.55685213,1521053842,1255042519,27612817,125560,3407,1252,50141211,87809,1837186,3682,1.211954033,,,,,,,,
95,48.05748922,1506794467,1269686216,26789995,141537,4099,1413,55055514,96582,2397727,4448,1.18674555,,,,,,,,
96,48.55808365,1501892948,1248674513,26045638,153353,4326,1424,57807844,88382,2729486,4399,1.202789784,,,,,,,,
97,49.05871573,1506291675,1264997094,26172117,156463,4418,1292,58622706,96551,2971817,4927,1.190747143,,,,,,,,
98,49.55931044,1519370214,1262207255,27521803,124052,3445,1215,50019854,101172,1928700,3475,1.203740676,,,,,,,,
99,50.05975749,1504387332,1270361730,26804757,149784,4257,1367,56006048,98858,2360630,4355,1.184219657,,,,,,,,
100,50.56038245,1504332238,1256157599,26108175,149122,4226,1307,57312061,99153,2811961,4592,1.197566483,,,,,,,,
101,51.06100867,1500265678,1289748275,25568630,172928,4924,1463,62829854,117107,3375797,5443,1.163223636,,,,,,,,
102,51.56162545,1496234838,1281243806,25516591,163492,4808,1256,61539731,91444,3160231,4904,1.16779869,,,,,,,,
103,52.06222256,1490607084,1302779932,24355381,187087,5529,1466,68031249,102290,3903542,6020,1.144174121,,,,,,,,
104,52.56284676,1480211190,1303815356,22443326,211910,6662,1300,77947125,93237,5134805,7087,1.135292036,,,,,,,,
105,53.06344797,1474547146,1337650149,21626253,224859,7114,1312,85895244,106526,5692559,7323,1.102341406,,,,,,,,
