,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi,,,,,,,,
0,1.001035572,2811712708,6369724315,18387506,557887,250528,19537,59159360,1346254,1687154,1514751,0.441418273,,,,,,,,
1,2.002189982,2830009192,6012470525,17361133,486927,86617,8238,53956588,770919,2120456,510765,0.470689907,,,,,,,,
2,3.0033958,2798867570,6018835685,18036083,431203,78004,9349,52386186,724209,2190187,746360,0.465018106,,,,,,,,
3,4.003792543,2675829706,6013761775,18334409,513777,87634,10927,56210585,796635,2000883,661072,0.444951065,,,,,,,,
4,5.004936415,2790517035,5918042111,18671432,640058,135342,7129,53062372,648381,2221521,1049153,0.471527066,,,,,,,,
5,6.006050449,2777635616,6004887892,17296163,578680,103349,9441,56542586,596850,2715362,829195,0.462562443,,,,,,,,
6,7.007166592,2834760067,6185377093,20253339,403687,71082,8498,53289160,651404,2410452,1073249,0.458300282,,,,,,,,
7,8.007798217,2804485227,6154925704,19044983,516092,84137,8053,57642132,558800,2532159,691314,0.455648916,,,,,,,,
8,9.008936817,2842175529,6473409849,19226031,467565,93238,10855,72427123,578987,2438113,725153,0.439053852,,,,,,,,
9,10.01006053,2909122794,6861734985,19853584,489192,82867,5941,56304118,689155,2141966,1187259,0.423963152,,,,,,,,
10,11.01117651,3023117259,8082823385,23788871,86959,25471,9558,39503965,501721,543593,1496991,0.374017483,,,,,,,,
11,12.01227349,3035669478,7848167682,27572424,63289,78847,14698,23114682,546664,328535,373760,0.386799773,,,,,,,,
12,13.01259669,3041638600,7905247333,29560565,52787,200394,29054,21376771,502247,264876,428704,0.384761978,,,,,,,,
13,14.0137319,3075044700,7696924993,23794490,42496,146349,13807,102991097,291936,210331,920920,0.399516002,,,,,,,,
14,15.01487604,3078157525,7431373906,12052668,190727,10816,6817,230800155,197021,229723,198379,0.414211095,,,,,,,,
15,16.01599332,3074533722,7401692632,10894223,278913,10528,4805,230519609,274122,410825,69452,0.415382518,,,,,,,,
